2,0,1000,1,GDOP, 1246212000.0
TOW_ms,Pos_X,Pos_Y,Pos_Z,Vel_X,Vel_Y,Vel_Z,Acc_X,Acc_Y,Acc_Z,Jerk_X,Jerk_Y,Jerk_Z,Lat,Long,Height,Heading,Elevation,Bank,Ang-vel_X,Ang-vel_Y,Ang-vel_Z,Ang-acc_X,Ang-acc_Y,Ang-acc_Z,Ant1_Pos_X,Ant1_Pos_Y,Ant1_Pos_Z,Ant1_Vel_X,Ant1_Vel_Y,Ant1_Vel_Z,Ant1_Acc_X,Ant1_Acc_Y,Ant1_Acc_Z,Ant1_Lat,Ant1_Long,Ant1_Height,Ant1_DOP
325553000,-5610395.3697,5740.1948,3023652.1471,-0.0031,-3.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.49712038552,3.14056951842,2.0000,1.570796318,0.000000000,0.000000000,0.00000000000,-0.00000047000,-0.00000025501,0.00000000000,0.00000000000,0.00000000000,-5610395.3697,5740.1948,3023652.1471,-0.0031,-3.0000,0.0000,0.000,0.000,0.000,0.49712038552,3.14056951842,2.0000,2.398
325554000,-5610395.3727,5737.1948,3023652.1471,-0.0031,-3.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.49712038552,3.14057005315,2.0000,1.570796318,0.000000000,0.000000000,0.00000000000,-0.00000047000,-0.00000025501,0.00000000000,0.00000000000,0.00000000000,-5610395.3727,5737.1948,3023652.1471,-0.0031,-3.0000,0.0000,0.000,0.000,0.000,0.49712038552,3.14057005315,2.0000,2.397
325555000,-5610395.3758,5734.1948,3023652.1471,-0.0031,-3.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.49712038552,3.14057058787,2.0000,1.570796318,0.000000000,0.000000000,0.00000000000,-0.00000047000,-0.00000025501,0.00000000000,0.00000000000,0.00000000000,-5610395.3758,5734.1948,3023652.1471,-0.0031,-3.0000,0.0000,0.000,0.000,0.000,0.49712038552,3.14057058787,2.0000,2.397
325556000,-5610395.3789,5731.1948,3023652.1471,-0.0031,-3.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.49712038552,3.14057112259,2.0000,1.570796318,0.000000000,0.000000000,0.00000000000,-0.00000047000,-0.00000025501,0.00000000000,0.00000000000,0.00000000000,-5610395.3789,5731.1948,3023652.1471,-0.0031,-3.0000,0.0000,0.000,0.000,0.000,0.49712038552,3.14057112259,2.0000,2.397
325557000,-5610395.3819,5728.1948,3023652.1471,-0.0031,-3.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.49712038552,3.14057165731,2.0000,1.570796318,0.000000000,0.000000000,0.00000000000,-0.00000047000,-0.00000025501,0.00000000000,0.00000000000,0.00000000000,-5610395.3819,5728.1948,3023652.1471,-0.0031,-3.0000,0.0000,0.000,0.000,0.000,0.49712038552,3.14057165731,2.0000,2.397
325558000,-5610395.3850,5725.1948,3023652.1471,-0.0031,-3.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.49712038552,3.14057219203,2.0000,1.570796318,0.000000000,0.000000000,0.00000000000,-0.00000047000,-0.00000025501,0.00000000000,0.00000000000,0.00000000000,-5610395.3850,5725.1948,3023652.1471,-0.0031,-3.0000,0.0000,0.000,0.000,0.000,0.49712038552,3.14057219203,2.0000,2.397
325559000,-5610395.3880,5722.1948,3023652.1471,-0.0031,-3.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.49712038552,3.14057272675,2.0000,1.570796318,0.000000000,0.000000000,0.00000000000,-0.00000047000,-0.00000025501,0.00000000000,0.00000000000,0.00000000000,-5610395.3880,5722.1948,3023652.1471,-0.0031,-3.0000,0.0000,0.000,0.000,0.000,0.49712038552,3.14057272675,2.0000,2.397
325560000,-5610395.3911,5719.1948,3023652.1471,-0.0031,-3.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.49712038552,3.14057326147,2.0000,1.570796318,0.000000000,0.000000000,0.00000000000,-0.00000047000,-0.00000025501,0.00000000000,0.00000000000,0.00000000000,-5610395.3911,5719.1948,3023652.1471,-0.0031,-3.0000,0.0000,0.000,0.000,0.000,0.49712038552,3.14057326147,2.0000,2.396
325561000,-5610395.3942,5716.1948,3023652.1471,-0.0031,-3.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.49712038552,3.14057379620,2.0000,1.570796318,0.000000000,0.000000000,0.00000000000,-0.00000047000,-0.00000025501,0.00000000000,0.00000000000,0.00000000000,-5610395.3942,5716.1948,3023652.1471,-0.0031,-3.0000,0.0000,0.000,0.000,0.000,0.49712038552,3.14057379620,2.0000,2.396
325562000,-5610395.3972,5713.1948,3023652.1471,-0.0031,-3.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.49712038552,3.14057433092,2.0000,1.570796318,0.000000000,0.000000000,0.00000000000,-0.00000047000,-0.00000025501,0.00000000000,0.00000000000,0.00000000000,-5610395.3972,5713.1948,3023652.1471,-0.0031,-3.0000,0.0000,0.000,0.000,0.000,0.49712038552,3.14057433092,2.0000,2.396
