Build,GPS Time,Interval ms,Channels,SIR ms,Header rows,N_freqs
4,1246190400.0,1000,76,100,5,5
Group A,Group B,Group C,Group D,Group E
L1/E1/S/B1I,L2/E6/B2I,L5/E5/B2A,L6/B1C,B3I
Time_ms,Channel,Sat_type,Sat_ID,Sat_PRN,Echo_Num,Sat_Pos_X,Sat_Pos_Y,Sat_Pos_Z,Sat_Vel_X,Sat_Vel_Y,Sat_Vel_Z,Azimuth,Elevation,Range,P-Range Group A,P-Range Group B,P-Range Group C,P-Range Group D,P-Range Group E,P-R_rate,Iono_delay Group A,Iono_delay Group B,Iono_delay Group C,Iono_delay Group D,Iono_delay Group E,Tropo_delay,P-R_Error,Signal_dB Group A,Signal_dB Group B,Signal_dB Group C,Signal_dB Group D,Signal_dB Group E,Ant_azimuth,Ant_elevation,Range_rate,P-R_Error_rate,Doppler_shift Group A,Doppler_shift Group B,Doppler_shift Group C,Doppler_shift Group D,Doppler_shift Group E,Delta_range Group A,Delta_range Group B,Delta_range Group C,Delta_range Group D,Delta_range Group E,Sat_Acc_X,Sat_Acc_Y,Sat_Acc_Z
3000,5,GPS,27,27,0,12074251.9624,-14879732.1827,18145074.4237,169.036,2332.375,1818.058,-1.2897,0.6666,21979297.1929,22031634.8474,0.0000,0.0000,0.0000,0.0000,-480.2089,8.61828e-09,0,0,0,0,1.33438e-08,0.0000,11.386,0.000,0.000,0.000,0.000,-2.8607,0.6666,-480.2118,0.0000,2523.5149,0.0000,0.0000,0.0000,0.0000,-480.9442,0.0000,0.0000,0.0000,0.0000,0.142533,0.218891,-0.393553
3000,6,GPS,16,16,0,16629743.7082,-4800516.2892,20082103.0921,2080.309,1516.659,-1305.838,-1.3704,1.1954,20487470.9839,20503401.0832,0.0000,0.0000,0.0000,0.0000,-113.5631,6.44793e-09,0,0,0,0,8.88722e-09,0.0000,11.997,0.000,0.000,0.000,0.000,-2.9414,1.1954,-113.5642,0.0000,596.7784,0.0000,0.0000,0.0000,0.0000,-113.9612,0.0000,0.0000,0.0000,0.0000,-0.046022,-0.226258,-0.429562
3000,7,GPS,26,26,0,23015414.4567,1525133.0254,13302413.5019,1378.913,1001.076,-2479.185,-2.8961,1.1358,20711334.9827,20638755.3564,0.0000,0.0000,0.0000,0.0000,275.7813,7.03966e-09,0,0,0,0,9.11621e-09,0.0000,11.902,0.000,0.000,0.000,0.000,1.8161,1.1358,275.7841,0.0000,-1449.2407,0.0000,0.0000,0.0000,0.0000,275.6291,0.0000,0.0000,0.0000,0.0000,-0.217553,-0.225190,-0.280921
3000,8,GPS,20,20,0,21678555.0585,14100541.0741,6308151.2278,-884.845,7.296,2959.752,2.4829,0.6828,22129199.5073,21971585.5566,0.0000,0.0000,0.0000,0.0000,-491.6371,1.05862e-08,0,0,0,0,1.30777e-08,0.0000,11.328,0.000,0.000,0.000,0.000,0.9119,0.6828,-491.6358,0.0000,2583.5705,0.0000,0.0000,0.0000,0.0000,-491.2293,0.0000,0.0000,0.0000,0.0000,-0.341819,-0.093972,-0.133340
4000,1,GPS,7,7,0,-9121708.5876,-12572278.2265,21832304.0905,2357.542,-1333.396,172.129,-0.4507,0.1104,25353252.0768,25370303.8076,0.0000,0.0000,0.0000,0.0000,-421.4823,1.46947e-08,0,0,0,0,6.93357e-08,0.0000,10.146,0.000,0.000,0.000,0.000,-2.0217,0.1104,-421.4732,0.0000,2214.9044,0.0000,0.0000,0.0000,0.0000,-421.7941,0.0000,0.0000,0.0000,0.0000,-0.054001,-0.150212,-0.452395
4000,2,GPS,10,10,0,24095743.3324,10898734.3630,-3386819.9150,254.056,435.353,3129.660,2.8268,0.3385,23845585.3846,23846700.1683,0.0000,0.0000,0.0000,0.0000,-672.6398,1.75409e-08,0,0,0,0,2.46488e-08,0.0000,10.679,0.000,0.000,0.000,0.000,1.2558,0.3385,-672.6396,0.0000,3534.7459,0.0000,0.0000,0.0000,0.0000,-672.4602,0.0000,0.0000,0.0000,0.0000,-0.315180,-0.208329,0.071250
4000,3,GPS,21,21,0,13932607.3576,9158837.5654,21443720.6443,-2077.310,1478.584,762.826,1.1900,1.2138,21109313.0208,21157779.7727,0.0000,0.0000,0.0000,0.0000,234.7024,6.54939e-09,0,0,0,0,8.82503e-09,0.0000,11.737,0.000,0.000,0.000,0.000,-0.3810,1.2138,234.7065,0.0000,-1233.3692,0.0000,0.0000,0.0000,0.0000,234.8766,0.0000,0.0000,0.0000,0.0000,0.012689,0.169544,-0.426473
4000,4,GPS,29,29,0,4427282.2132,24637436.5525,8825669.6433,-253.360,1110.527,-2961.708,1.5861,0.2371,24315084.8518,24266845.7268,0.0000,0.0000,0.0000,0.0000,594.1175,1.77178e-08,0,0,0,0,3.44847e-08,0.0000,10.509,0.000,0.000,0.000,0.000,0.0151,0.2371,594.1094,0.0000,-3122.1087,0.0000,0.0000,0.0000,0.0000,594.7300,0.0000,0.0000,0.0000,0.0000,0.091117,-0.357246,-0.188179
4000,5,GPS,27,27,0,12074421.0703,-14877399.6950,18146892.2878,169.179,2332.593,1817.664,-1.2896,0.6667,21978817.5725,22031155.2299,0.0000,0.0000,0.0000,0.0000,-479.1088,8.61741e-09,0,0,0,0,1.33418e-08,0.0000,11.387,0.000,0.000,0.000,0.000,-2.8606,0.6667,-479.1117,0.0000,2517.7338,0.0000,0.0000,0.0000,0.0000,-479.6166,0.0000,0.0000,0.0000,0.0000,0.142565,0.218832,-0.393590
4000,6,GPS,16,16,0,16631823.9950,-4798999.7427,20080797.0386,2080.263,1516.433,-1306.268,-1.3707,1.1955,20487357.7491,20503287.8494,0.0000,0.0000,0.0000,0.0000,-112.9442,6.44791e-09,0,0,0,0,8.88692e-09,0.0000,11.997,0.000,0.000,0.000,0.000,-2.9417,1.1955,-112.9452,0.0000,593.5257,0.0000,0.0000,0.0000,0.0000,-113.2337,0.0000,0.0000,0.0000,0.0000,-0.046088,-0.226274,-0.429534
