2,0,1000,1,GDOP, 1246190400.0
Time_ms,Pos_X,Pos_Y,Pos_Z,Vel_X,Vel_Y,Vel_Z,Acc_X,Acc_Y,Acc_Z,Jerk_X,Jerk_Y,Jerk_Z,Lat,Long,Height,Heading,Elevation,Bank,Ang-vel_X,Ang-vel_Y,Ang-vel_Z,Ang-acc_X,Ang-acc_Y,Ang-acc_Z,Ant1_Pos_X,Ant1_Pos_Y,Ant1_Pos_Z,Ant1_Vel_X,Ant1_Vel_Y,Ant1_Vel_Z,Ant1_Acc_X,Ant1_Acc_Y,Ant1_Acc_Z,Ant1_Lat,Ant1_Long,Ant1_Height,Ant1_DOP
23000,4162646.8980,664571.9000,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.85043344153,0.15831522682,0.0045,1.729000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162646.8980,664571.9000,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.85043344153,0.15831522682,0.0045,2.361
24000,4162645.3220,664581.7750,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.85043344147,0.15831759909,0.0049,1.729000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162645.3220,664581.7750,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.85043344147,0.15831759909,0.0049,2.362
25000,4162643.7460,664591.6510,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.85043344138,0.15831997159,0.0054,1.729000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162643.7460,664591.6510,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.85043344138,0.15831997159,0.0054,2.362
26000,4162642.1700,664601.5260,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.85043344131,0.15832234386,0.0058,1.729000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162642.1700,664601.5260,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.85043344131,0.15832234386,0.0058,2.362
27000,4162640.5940,664611.4010,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.85043344123,0.15832471613,0.0062,1.729000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162640.5940,664611.4010,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.85043344123,0.15832471613,0.0062,2.362
28000,4162639.0180,664621.2760,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.85043344115,0.15832708840,0.0066,1.729000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162639.0180,664621.2760,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.85043344115,0.15832708840,0.0066,2.362
29000,4162637.4420,664631.1510,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.85043344107,0.15832946066,0.0071,1.729000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162637.4420,664631.1510,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.85043344107,0.15832946066,0.0071,2.362
30000,4162635.8660,664641.0260,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.85043344099,0.15833183293,0.0076,1.729000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162635.8660,664641.0260,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.85043344099,0.15833183293,0.0076,2.362
31000,4162634.2900,664650.9010,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.85043344091,0.15833420520,0.0080,1.729000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162634.2900,664650.9010,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.85043344091,0.15833420520,0.0080,2.362
32000,4162632.7140,664660.7760,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.85043344082,0.15833657747,0.0085,1.729000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162632.7140,664660.7760,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.85043344082,0.15833657747,0.0085,2.362
33000,4162631.1380,664670.6510,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.85043344073,0.15833894974,0.0090,1.729000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162631.1380,664670.6510,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.85043344073,0.15833894974,0.0090,2.362
34000,4162629.5620,664680.5260,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.85043344063,0.15834132200,0.0096,1.729000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162629.5620,664680.5260,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.85043344063,0.15834132200,0.0096,2.362
35000,4162627.9860,664690.4010,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.85043344053,0.15834369427,0.0101,1.729000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162627.9860,664690.4010,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.85043344053,0.15834369427,0.0101,2.362
36000,4162626.4100,664700.2760,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.85043344043,0.15834606654,0.0107,1.729000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162626.4100,664700.2760,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.85043344043,0.15834606654,0.0107,2.363
37000,4162624.8340,664710.1510,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.85043344033,0.15834843881,0.0112,1.729000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162624.8340,664710.1510,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.85043344033,0.15834843881,0.0112,2.363
38000,4162623.2580,664720.0260,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.85043344023,0.15835081107,0.0118,1.729000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162623.2580,664720.0260,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.85043344023,0.15835081107,0.0118,2.363
39000,4162621.6820,664729.9010,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.85043344012,0.15835318334,0.0124,1.729000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162621.6820,664729.9010,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.85043344012,0.15835318334,0.0124,2.363
40000,4162620.1060,664739.7760,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.85043344001,0.15835555561,0.0131,1.729000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162620.1060,664739.7760,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.85043344001,0.15835555561,0.0131,2.363
41000,4162618.5300,664749.6510,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.85043343989,0.15835792788,0.0137,1.729000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162618.5300,664749.6510,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.85043343989,0.15835792788,0.0137,2.363
42000,4162616.9540,664759.5260,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.85043343978,0.15836030015,0.0143,1.729000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162616.9540,664759.5260,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.85043343978,0.15836030015,0.0143,2.363
43000,4162615.3780,664769.4010,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.85043343966,0.15836267241,0.0150,1.729000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162615.3780,664769.4010,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.85043343966,0.15836267241,0.0150,2.363
44000,4162613.8020,664779.2760,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.85043343954,0.15836504468,0.0157,1.729000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162613.8020,664779.2760,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.85043343954,0.15836504468,0.0157,2.363
45000,4162612.2260,664789.1510,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.85043343941,0.15836741695,0.0164,1.729000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162612.2260,664789.1510,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.85043343941,0.15836741695,0.0164,2.363
46000,4162610.6500,664799.0260,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.85043343928,0.15836978922,0.0171,1.729000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162610.6500,664799.0260,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.85043343928,0.15836978922,0.0171,2.363
47000,4162609.0740,664808.9010,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.85043343915,0.15837216148,0.0178,1.729000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162609.0740,664808.9010,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.85043343915,0.15837216148,0.0178,2.363
48000,4162607.4980,664818.7760,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.85043343902,0.15837453375,0.0186,1.729000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162607.4980,664818.7760,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.85043343902,0.15837453375,0.0186,2.364
