Build,GPS Time,Interval ms,Channels,SIR ms,Header rows,N_freqs
4,1246190400.0,1000,76,100,5,5
Group A,Group B,Group C,Group D,Group E
L1/E1/S/B1I,L2/E6/B2I,L5/E5/B2A,L6/B1C,B3I
Time_ms,Channel,Sat_type,Sat_ID,Sat_PRN,Echo_Num,Sat_Pos_X,Sat_Pos_Y,Sat_Pos_Z,Sat_Vel_X,Sat_Vel_Y,Sat_Vel_Z,Azimuth,Elevation,Range,P-Range Group A,P-Range Group B,P-Range Group C,P-Range Group D,P-Range Group E,P-R_rate,Iono_delay Group A,Iono_delay Group B,Iono_delay Group C,Iono_delay Group D,Iono_delay Group E,Tropo_delay,P-R_Error,Signal_dB Group A,Signal_dB Group B,Signal_dB Group C,Signal_dB Group D,Signal_dB Group E,Ant_azimuth,Ant_elevation,Range_rate,P-R_Error_rate,Doppler_shift Group A,Doppler_shift Group B,Doppler_shift Group C,Doppler_shift Group D,Doppler_shift Group E,Delta_range Group A,Delta_range Group B,Delta_range Group C,Delta_range Group D,Delta_range Group E,Sat_Acc_X,Sat_Acc_Y,Sat_Acc_Z
2000,5,GPS,21,21,0,13936761.9988,9155880.7393,21442194.1410,-2077.335,1478.245,763.679,1.1903,1.2140,21108833.8571,21157300.6174,0.0000,0.0000,0.0000,0.0000,232.6869,6.54897e-09,0,0,0,0,8.82426e-09,0.0000,11.738,0.000,0.000,0.000,0.000,-0.5387,1.2140,232.6911,0.0000,-1222.7777,0.0000,0.0000,0.0000,0.0000,232.6524,0.0000,0.0000,0.0000,0.0000,0.012572,0.169592,-0.426446
2000,6,GPS,21,21,1,13936761.9988,9155880.7393,21442194.1410,-2077.335,1478.245,763.679,1.1903,1.2140,21108833.8571,21157300.6174,0.0000,0.0000,0.0000,0.0000,232.6869,6.54897e-09,0,0,0,0,8.82426e-09,0.0000,-99.900,0.000,0.000,0.000,0.000,-0.5387,1.2140,232.6911,0.0000,-1222.7777,0.0000,0.0000,0.0000,0.0000,232.6524,0.0000,0.0000,0.0000,0.0000,0.012572,0.169592,-0.426446
2000,7,GPS,29,29,0,4427789.1145,24635214.7883,8831592.6708,-253.542,1111.242,-2961.331,1.5859,0.2374,24313867.7348,24265628.5934,0.0000,0.0000,0.0000,0.0000,588.4672,1.77113e-08,0,0,0,0,3.44562e-08,0.0000,10.510,0.000,0.000,0.000,0.000,-0.1431,0.2374,588.4592,0.0000,-3092.4160,0.0000,0.0000,0.0000,0.0000,588.4540,0.0000,0.0000,0.0000,0.0000,0.091219,-0.357186,-0.188311
2000,8,GPS,29,29,1,4427789.1145,24635214.7883,8831592.6708,-253.542,1111.242,-2961.331,1.5859,0.2374,24313867.7348,24265628.5934,0.0000,0.0000,0.0000,0.0000,588.4672,1.77113e-08,0,0,0,0,3.44562e-08,0.0000,-99.900,0.000,0.000,0.000,0.000,-0.1431,0.2374,588.4592,0.0000,-3092.4160,0.0000,0.0000,0.0000,0.0000,588.4540,0.0000,0.0000,0.0000,0.0000,0.091219,-0.357186,-0.188311
2000,9,GPS,27,27,0,12074082.9970,-14882064.4517,18143256.1659,168.894,2332.156,1818.451,-1.2898,0.6664,21979798.0053,22032135.6569,0.0000,0.0000,0.0000,0.0000,-474.8368,8.61922e-09,0,0,0,0,1.33458e-08,0.0000,11.386,0.000,0.000,0.000,0.000,-3.0188,0.6664,-474.8397,0.0000,2495.2840,0.0000,0.0000,0.0000,0.0000,-474.8578,0.0000,0.0000,0.0000,0.0000,0.142507,0.218953,-0.393512
2000,10,GPS,27,27,1,12074082.9970,-14882064.4517,18143256.1659,168.894,2332.156,1818.451,-1.2898,0.6664,21979798.0053,22032135.6569,0.0000,0.0000,0.0000,0.0000,-474.8368,8.61922e-09,0,0,0,0,1.33458e-08,0.0000,-99.900,0.000,0.000,0.000,0.000,-3.0188,0.6664,-474.8397,0.0000,2495.2840,0.0000,0.0000,0.0000,0.0000,-474.8578,0.0000,0.0000,0.0000,0.0000,0.142507,0.218953,-0.393512
2000,11,GPS,16,16,0,16627663.3752,-4802033.0620,20083408.7161,2080.355,1516.885,-1305.409,-1.3701,1.1953,20487594.4523,20503524.5505,0.0000,0.0000,0.0000,0.0000,-111.1025,6.44798e-09,0,0,0,0,8.88753e-09,0.0000,11.997,0.000,0.000,0.000,0.000,-3.0991,1.1953,-111.1035,0.0000,583.8476,0.0000,0.0000,0.0000,0.0000,-111.1606,0.0000,0.0000,0.0000,0.0000,-0.045955,-0.226236,-0.429596
2000,12,GPS,16,16,1,16627663.3752,-4802033.0620,20083408.7161,2080.355,1516.885,-1305.409,-1.3701,1.1953,20487594.4523,20503524.5505,0.0000,0.0000,0.0000,0.0000,-111.1025,6.44798e-09,0,0,0,0,8.88753e-09,0.0000,-99.900,0.000,0.000,0.000,0.000,-3.0991,1.1953,-111.1035,0.0000,583.8476,0.0000,0.0000,0.0000,0.0000,-111.1606,0.0000,0.0000,0.0000,0.0000,-0.045955,-0.226236,-0.429596
2000,13,GPS,26,26,0,23014035.4362,1524131.8372,13304892.5446,1379.131,1001.302,-2478.905,-2.8959,1.1359,20711062.8121,20638483.1885,0.0000,0.0000,0.0000,0.0000,276.4058,7.03914e-09,0,0,0,0,9.11568e-09,0.0000,11.903,0.000,0.000,0.000,0.000,1.6583,1.1359,276.4085,0.0000,-1452.5221,0.0000,0.0000,0.0000,0.0000,276.3507,0.0000,0.0000,0.0000,0.0000,-0.217497,-0.225206,-0.280973
2000,14,GPS,26,26,1,23014035.4362,1524131.8372,13304892.5446,1379.131,1001.302,-2478.905,2.8959,1.1359,20711062.8121,20638493.2605,0.0000,0.0000,0.0000,0.0000,276.4087,7.03914e-09,0,0,0,0,9.11568e-09,0.0000,-99.900,0.000,0.000,0.000,0.000,1.6583,1.1359,276.4085,0.0000,-1452.5374,0.0000,0.0000,0.0000,0.0000,276.3536,0.0000,0.0000,0.0000,0.0000,-0.217497,-0.225206,-0.280973
